Name,Education 1,Year 1,Education 2,Year 2,Education 3,Year 3,Education 4,Year 4,Education 5,Year 5
"Story, Joseph",Harvard College,1798,Read law,1801,,,,,,
"Strong, William",Yale Law School,,"Yale College, B.A.",1828,"Yale College, M.A.",1831,Read law,1832,,
"Sutherland, George",University of Michigan Law School,,,,,,,,,
"Swayne, Noah Haynes",Read law,1823,,,,,,,,
"Taft, William Howard","Yale College, B.A.",1878,"Cincinnati Law School (now University of Cincinnati College of Law), LL.B.",1880,,,,,,
"Taney, Roger Brooke",Dickinson College,1795,Read law,1799,,,,,,
"Thomas, Clarence","College of the Holy Cross, B.A.",1971,"Yale Law School, J.D.",1974,,,,,,
"Thompson, Smith",College of New Jersey (now Princeton University),1788,Read law,1792,,,,,,
"Todd, Thomas",Liberty Hall Academy (now Washington and Lee University),1783,Read law,1786,,,,,,
"Trimble, Robert",Read law,1803,,,,,,,,
"Van Devanter, Willis","Cincinnati Law School (now University of Cincinnati College of Law), LL.B.",1881,,,,,,,,
"Vinson, Frederick Moore","Centre College, B.A.",1909,"College of Law of Central University, LL.B.",1911,,,,,,
"Waite, Morrison Remick",Yale College,1837,Read law,1839,,,,,,
"Warren, Earl","University of California, Berkeley, B.A.",1912,"University of California, Berkeley, School of Jurisprudence, J.D.",1914,,,,,,
"Washington, Bushrod","College of William and Mary, A.B.",1778,Read law,1784,,,,,,
"Wayne, James Moore",College of New Jersey (now Princeton University),1808,Read law,1810,,,,,,
"White, Byron Raymond","University of Oxford, Rhodes Scholar",,"University of Colorado, B.A.",1938,"Yale Law School, LL.B.",1946,,,,
"White, Edward Douglass",Georgetown College (now Georgetown University),,Read law,1868,,,,,,
"Whittaker, Charles Evans","Kansas City School of Law (now University of Missouri-Kansas City School of Law), LL.B.",1924,,,,,,,,
"Wilson, James",University of Glasgow,,University of Edinburgh,,University of St. Andrews,,Read law,1767,,
"Woodbury, Levi",Litchfield (Tapping Reeve) Law School,,Dartmouth College,1809,Read law,1812,,,,
"Woods, William Burnham","Yale College, A.B.",1845,Read law,1847,,,,,,
